residence	0.423076923077	0.835164835165	0.978021978022	0.59409757407	0.588100910187
physicians	0.44262295082	0.827868852459	0.937158469945	0.608661276207	0.876285076141
jazz	0.476277372263	0.886861313869	0.970802919708	0.651602883871	1.18033885956
infectious	0.561594202899	0.884057971014	0.972826086957	0.696547455836	2.31485795975
adole	0.263157894737	0.476555023923	0.563157894737	0.3657825975	54.045153141
residence	0.368131868132	0.82967032967	0.961538461538	0.565847703883	0.471765041351
physicians	0.472677595628	0.844262295082	0.934426229508	0.625673509051	0.832747936249
jazz	0.512773722628	0.892335766423	0.965328467153	0.673518009262	1.14042186737
infectious	0.554347826087	0.894927536232	0.965579710145	0.69438194687	2.34593915939
adole	0.254066985646	0.473205741627	0.565550239234	0.359655418669	54.5370349884
